Species/Group,Bmsy,MTL
Am plaice,28600,4.2
CC-GOM Yt,12600,3.2
GB Yt,58800,3.2
GB Cod,82830,4.4
GB Haddock,250300,4.1
GB Winter fldr,9400,4.2
GOM-GB Windowpane fldr,9987,4.2
GOM Cod,82830,4.4
GOM Haddock,124076,4.1
GOM Winter fldr,4100,4.2
Halibut,5400,4.2
Ocean pout,102635,3.8
Pollock,49802,3.8
Redfish,236700,3.8
SNE-MA Windowpane fldr,15264,4.2
SNE-MA Winter fldr,30100,4.2
SNE-MA Yt,69500,3.2
White hake,92446,4.2
Witch fldr,25248,4.2
Butterfish,22978,3.2
Herring,629000,3.2
Mackerel,644000,3.7
Skates,737182,4
Spiny dogfish,418549,4.3
PELAGICS,1295978,NA
GROUNDFISH,1424788,NA
ELASMOBRANCHS,1155731,NA
